name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,total_interactions,mean_score,std_score,median_score,high_score_interactions,medium_score_interactions,low_score_interactions,category
RANDOM_MGC_7273,6,36,6,6,-546.995,-546.995,-91.16583333333334,-91.16583333333334,5993.068550472221,77.41491168032307,-55.0525,-160.7885,-33.9465,-204.722,-9.223,0.5,0.3333333333333333,0.1666666666666666,1.791759469228055,2.449489742783178,-30.0,3.0388611111111112,small,-0.7901040252543511,-0.7901040252543511,6,-91.16583333333334,77.41491168032307,-55.0525,3,2,1,KEGG_Random
RANDOM_MGC_7145,42,1764,42,42,-1670.418,-1670.418,-39.77185714285714,-39.77185714285714,1783.6571967891157,42.23336591830108,-34.3615,-68.24324999999999,-15.15125,-162.096,20.836,0.3571428571428571,0.1904761904761904,0.4523809523809524,3.737669618283368,6.48074069840786,-30.0,1.3257285714285714,medium,-0.2313776543825668,-0.2313776543825668,42,-39.77185714285714,42.23336591830108,-34.3615,15,8,19,KEGG_Random
RANDOM_MGC_4535,6,36,6,6,17.394000000000002,17.394000000000002,2.8990000000000005,2.8990000000000005,340.564204,18.454381701915672,10.4605,2.92,11.8165,-36.37,20.168,0.0,0.1666666666666666,0.8333333333333334,1.791759469228055,2.449489742783178,-30.0,-0.0966333333333333,small,1.7827202521006105,1.7827202521006105,6,2.8990000000000005,18.454381701915672,10.4605,0,1,5,KEGG_Random
RANDOM_MGC_4510,12,144,12,12,-348.6460000000001,-348.6460000000001,-29.05383333333334,-29.05383333333334,3031.7270573055557,55.06112110469197,-17.66,-34.239,11.12775,-190.411,17.432,0.25,0.0833333333333333,0.6666666666666666,2.4849066497880004,3.4641016151377544,-30.0,0.9684611111111112,medium,0.0171839339207721,0.0171839339207721,12,-29.05383333333334,55.06112110469197,-17.66,3,1,8,KEGG_Random
RANDOM_MGC_7341,2,4,2,2,28.181,28.181,14.0905,14.0905,1.810370250000001,1.3455000000000004,14.0905,13.41775,14.76325,12.745,15.436,0.0,0.0,1.0,0.6931471805599453,1.4142135623730951,-30.0,-0.4696833333333333,small,32.7688591601635,32.7688591601635,2,14.0905,1.3455000000000004,14.0905,0,0,2,KEGG_Random
RANDOM_MGC_7276,6,36,6,6,-183.955,-183.955,-30.659166666666664,-30.659166666666664,413.8375194722221,20.34299681640397,-23.1155,-41.46025,-15.045000000000002,-67.82,-9.974,0.1666666666666666,0.3333333333333333,0.5,1.791759469228055,2.449489742783178,-30.0,1.021972222222222,small,-0.0324026333295757,-0.0324026333295757,6,-30.659166666666664,20.34299681640397,-23.1155,1,2,3,KEGG_Random
RANDOM_MGC_4493,12,144,12,12,-144.076,-144.076,-12.006333333333332,-12.006333333333332,407.2182037222222,20.1796482556615,-15.4705,-26.031,4.995,-50.762,19.392,0.0833333333333333,0.25,0.6666666666666666,2.4849066497880004,3.4641016151377544,-30.0,0.4002111111111111,medium,0.8916739498478848,0.8916739498478848,12,-12.006333333333332,20.1796482556615,-15.4705,1,3,8,KEGG_Random
RANDOM_MGC_4481,12,144,12,12,-334.458,-334.458,-27.8715,-27.8715,1528.42339525,39.09505589265732,-15.8795,-53.4975,2.9535,-115.524,15.466,0.3333333333333333,0.0833333333333333,0.5833333333333334,2.4849066497880004,3.4641016151377544,-30.0,0.92905,medium,0.0544442245035839,0.0544442245035839,12,-27.8715,39.09505589265732,-15.8795,4,1,7,KEGG_Random
RANDOM_MGC_4538,6,36,6,6,-16.923000000000002,-16.923000000000002,-2.8205000000000005,-2.8205000000000005,195.35612325,13.9769854850751,-2.016,-7.00975,7.875999999999999,-29.015,13.625,0.0,0.1666666666666666,0.8333333333333334,1.791759469228055,2.449489742783178,-30.0,0.0940166666666666,small,1.9445895560972577,1.9445895560972577,6,-2.8205000000000005,13.9769854850751,-2.016,0,1,5,KEGG_Random
RANDOM_MGC_7355,6,36,6,6,-139.055,-139.055,-23.175833333333333,-23.175833333333333,567.4001408055557,23.8201624848689,-18.3275,-26.77975,-5.5185,-71.399,-0.155,0.1666666666666666,0.3333333333333333,0.5,1.791759469228055,2.449489742783178,-30.0,0.7725277777777778,small,0.2864869906324749,0.2864869906324749,6,-23.175833333333333,23.8201624848689,-18.3275,1,2,3,KEGG_Random
