cluster_name,category,mean_cladepp_score,weighted_cladepp_score,positive_correlation_ratio,n_clades_analyzed,total_clades,conservation_level
MGC_CANDIDATE_127,MGC_CANDIDATE,0.2940495215430067,0.3428587163768387,0.36092593763642833,97,97,Medium
MGC_CANDIDATE_128,MGC_CANDIDATE,0.3410975817870526,0.43539226859887625,0.3256824159787505,89,89,Medium
MGC_CANDIDATE_129,MGC_CANDIDATE,0.4149513363882194,0.4341675819723514,0.3740349479217401,95,95,Medium
MGC_CANDIDATE_130,MGC_CANDIDATE,0.3480645499585135,0.3667052909888912,0.3181543249075365,106,106,Medium
MGC_CANDIDATE_131,MGC_CANDIDATE,0.23193142549476586,0.24876288309988484,0.26020812233296575,98,98,Medium
MGC_CANDIDATE_132,MGC_CANDIDATE,0.41150363390598843,0.4124827181575517,0.532907570371585,89,89,Medium
MGC_CANDIDATE_133,MGC_CANDIDATE,0.286090518147775,0.3193872747447261,0.2326715973700238,88,88,Medium
MGC_CANDIDATE_134,MGC_CANDIDATE,0.4564214005574416,0.502430744990888,0.28624469144156073,111,111,Medium
MGC_CANDIDATE_135,MGC_CANDIDATE,0.3019358524234712,0.3126357478883391,0.5503939508479776,79,79,Medium
MGC_CANDIDATE_136,MGC_CANDIDATE,0.5757877255164451,0.5574765296816524,0.642945181967814,84,84,High
MGC_CANDIDATE_137,MGC_CANDIDATE,0.3170372098799113,0.26882547590706046,0.2779160484757128,115,115,Medium
MGC_CANDIDATE_138,MGC_CANDIDATE,0.36818337785279054,0.3951496272473666,0.4870680497524954,90,90,Medium
MGC_CANDIDATE_139,MGC_CANDIDATE,0.49411905940629636,0.5046367944569294,0.5874884495878068,91,91,High
MGC_CANDIDATE_140,MGC_CANDIDATE,0.2673971473074743,0.24766944865223275,0.3166253846744643,98,98,Medium
MGC_CANDIDATE_141,MGC_CANDIDATE,0.4291253067475979,0.38063756871598325,0.3814201375481484,95,95,Medium
MGC_CANDIDATE_142,MGC_CANDIDATE,0.5488621314499212,0.5851656758022699,0.615594383348355,76,76,High
MGC_CANDIDATE_143,MGC_CANDIDATE,0.22563010928715985,0.18950139666305926,0.3345859916564308,102,102,Medium
MGC_CANDIDATE_144,MGC_CANDIDATE,0.4243758949112325,0.4370919446186054,0.25236862168214796,102,102,Medium
MGC_CANDIDATE_145,MGC_CANDIDATE,0.4327210018821501,0.46922319970151627,0.45517050007936133,93,93,Medium
MGC_CANDIDATE_146,MGC_CANDIDATE,0.4906041564801037,0.5175821300495874,0.5204217267578506,93,93,High
MGC_CANDIDATE_147,MGC_CANDIDATE,0.26672216616362066,0.25630027026130386,0.2933298323065079,91,91,Medium
MGC_CANDIDATE_148,MGC_CANDIDATE,0.2574613616089537,0.22529479601571412,0.26207972326057144,85,85,Medium
MGC_CANDIDATE_149,MGC_CANDIDATE,0.46178331962691394,0.48889088895066296,0.5803906271623042,101,101,Medium
MGC_CANDIDATE_150,MGC_CANDIDATE,0.4368356002615603,0.489278722811694,0.4157039069538439,93,93,Medium
MGC_CANDIDATE_151,MGC_CANDIDATE,0.4316796571033577,0.4069559232846446,0.4314011121744607,89,89,Medium
MGC_CANDIDATE_152,MGC_CANDIDATE,0.4423211064332146,0.4647427260345753,0.47388763824106017,89,89,Medium
MGC_CANDIDATE_153,MGC_CANDIDATE,0.32848525837694537,0.38043569861731175,0.3106783056464637,103,103,Medium
MGC_CANDIDATE_154,MGC_CANDIDATE,0.4296569350151553,0.44421573550474397,0.29105680934003986,97,97,Medium
MGC_CANDIDATE_155,MGC_CANDIDATE,0.43640173728882375,0.41908181881681306,0.4578147416577171,89,89,Medium
MGC_CANDIDATE_156,MGC_CANDIDATE,0.3246784277408758,0.35847269683049887,0.3472240654780216,100,100,Medium
MGC_CANDIDATE_157,MGC_CANDIDATE,0.6108143932859535,0.5657631073917935,0.5742978851444086,94,94,High
MGC_CANDIDATE_158,MGC_CANDIDATE,0.4564480709291172,0.3971923468324636,0.443216579276187,107,107,Medium
MGC_CANDIDATE_159,MGC_CANDIDATE,0.27178444216022624,0.2938620683392803,0.0,90,90,Medium
MGC_CANDIDATE_160,MGC_CANDIDATE,0.4767117951974917,0.45734956102081903,0.5975524001309052,78,78,Medium
MGC_CANDIDATE_161,MGC_CANDIDATE,0.29580780277179003,0.2864448642034371,0.38591082035784996,98,98,Medium
MGC_CANDIDATE_162,MGC_CANDIDATE,0.4911876825550379,0.4603931307674466,0.35740456450678615,91,91,High
MGC_CANDIDATE_163,MGC_CANDIDATE,0.5323882497119211,0.5072160071466824,0.4648415252091649,89,89,High
MGC_CANDIDATE_164,MGC_CANDIDATE,0.3128863308947953,0.3567853290209582,0.4577384669989544,103,103,Medium
MGC_CANDIDATE_165,MGC_CANDIDATE,0.5107384127331953,0.59564861081392,0.3952533450011001,102,102,High
