name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,total_interactions,mean_score,std_score,median_score,high_score_interactions,medium_score_interactions,low_score_interactions,category
RANDOM_MGC_604,12,144,12,12,34.413000000000004,34.413000000000004,2.8677500000000005,2.8677500000000005,194.0428041875,13.92992477321755,9.6545,2.9475,11.1285,-24.104,14.608,0.0,0.0,1.0,2.4849066497880004,3.4641016151377544,-30.0,-0.0955916666666666,medium,2.3595066402076608,2.3595066402076608,12,2.8677500000000005,13.92992477321755,9.6545,0,0,12,RANDOM
RANDOM_MGC_605,20,400,20,20,186.936,186.936,9.346799999999998,9.346799999999998,45.33805475999999,6.733353901288718,11.2165,8.65475,12.68225,-8.588,21.108,0.0,0.0,1.0,2.995732273553991,4.47213595499958,-30.0,-0.3115599999999999,medium,5.843566308384488,5.843566308384488,20,9.346799999999998,6.733353901288718,11.2165,0,0,20,RANDOM
RANDOM_MGC_606,20,400,20,20,-21.09800000000001,-21.09800000000001,-1.0549000000000004,-1.0549000000000004,255.30764859,15.978349370006905,6.093,-1.266,8.84575,-41.92,15.348,0.0,0.15,0.85,2.995732273553991,4.47213595499958,-30.0,0.0351633333333333,medium,1.8115200343743325,1.8115200343743325,20,-1.0549000000000004,15.978349370006905,6.093,0,3,17,RANDOM
RANDOM_MGC_607,12,144,12,12,-230.34,-230.34,-19.195,-19.195,826.9815655000001,28.75728717212387,-15.826,-34.182,5.676500000000001,-69.869,12.8,0.25,0.25,0.5,2.4849066497880004,3.4641016151377544,-30.0,0.6398333333333333,medium,0.3757308516386735,0.3757308516386735,12,-19.195,28.75728717212387,-15.826,3,3,6,RANDOM
RANDOM_MGC_608,20,400,20,20,-99.578,-99.578,-4.9789,-4.9789,416.88888329,20.417856971043754,2.323,-12.9645,10.302,-63.049,17.219,0.05,0.1,0.85,2.995732273553991,4.47213595499958,-30.0,0.1659633333333333,medium,1.225451820702069,1.225451820702069,20,-4.9789,20.417856971043754,2.323,1,2,17,RANDOM
RANDOM_MGC_609,6,36,6,6,23.574,23.574,3.929,3.929,136.04366433333334,11.663775732297552,6.1475,-7.567749999999999,11.666,-10.627,20.54,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.1309666666666666,small,2.908920814213615,2.908920814213615,6,3.929,11.663775732297552,6.1475,0,0,6,RANDOM
RANDOM_MGC_610,20,400,20,20,5.270999999999972,5.270999999999972,0.2635499999999986,0.2635499999999986,527.5669893475,22.968826468661824,9.336,3.54925,12.324,-64.199,17.391,0.1,0.0,0.9,2.995732273553991,4.47213595499958,-30.0,-0.0087849999999999,medium,1.31759234810237,1.31759234810237,20,0.2635499999999986,22.968826468661824,9.336,2,0,18,RANDOM
RANDOM_MGC_611,20,400,20,20,-17.67200000000001,-17.67200000000001,-0.8836000000000006,-0.8836000000000006,445.95848024,21.11772905025538,9.7255,-17.064,14.90875,-53.972,18.894,0.05,0.1,0.85,2.995732273553991,4.47213595499958,-30.0,0.0294533333333333,medium,1.3787656774414334,1.3787656774414334,20,-0.8836000000000006,21.11772905025538,9.7255,1,2,17,RANDOM
RANDOM_MGC_612,20,400,20,20,-86.741,-86.741,-4.33705,-4.33705,435.7155906475,20.873801537992545,2.863,-24.059,13.49575,-36.069,26.305,0.0,0.25,0.75,2.995732273553991,4.47213595499958,-30.0,0.1445683333333333,medium,1.2294334576905264,1.2294334576905264,20,-4.33705,20.873801537992545,2.863,0,5,15,RANDOM
RANDOM_MGC_613,12,144,12,12,157.115,157.115,13.092916666666667,13.092916666666667,51.34304490972223,7.16540612315326,11.74,7.82725,20.232,2.352,23.821,0.0,0.0,1.0,2.4849066497880004,3.4641016151377544,-30.0,-0.4364305555555556,medium,6.014022921523238,6.014022921523238,12,13.092916666666667,7.16540612315326,11.74,0,0,12,RANDOM
RANDOM_MGC_614,20,400,20,20,-22.755,-22.755,-1.13775,-1.13775,703.2814847875,26.51945483578989,7.683999999999999,5.4285,12.2135,-81.986,23.458,0.1,0.1,0.8,2.995732273553991,4.47213595499958,-30.0,0.037925,medium,1.0883425084986411,1.0883425084986411,20,-1.13775,26.51945483578989,7.683999999999999,2,2,16,RANDOM
RANDOM_MGC_615,2,4,2,2,23.933,23.933,11.9665,11.9665,7.00925625,2.6475,11.9665,10.64275,13.29025,9.319,14.614,0.0,0.0,1.0,0.6931471805599453,1.4142135623730951,-30.0,-0.3988833333333333,small,15.851369216241736,15.851369216241736,2,11.9665,2.6475,11.9665,0,0,2,RANDOM
RANDOM_MGC_616,20,400,20,20,-65.27999999999999,-65.27999999999999,-3.264,-3.264,415.1412411,20.3750151190128,4.5845,-10.68725,9.34225,-73.448,17.786,0.05,0.05,0.9,2.995732273553991,4.47213595499958,-30.0,0.1087999999999999,medium,1.3121953453203328,1.3121953453203328,20,-3.264,20.3750151190128,4.5845,1,1,18,RANDOM
RANDOM_MGC_617,20,400,20,20,-93.753,-93.753,-4.6876500000000005,-4.6876500000000005,288.7397175275,16.99234290871921,4.074999999999999,-18.111,10.1415,-45.158,14.214,0.0,0.15,0.85,2.995732273553991,4.47213595499958,-30.0,0.156255,medium,1.4896327208069453,1.4896327208069453,20,-4.6876500000000005,16.99234290871921,4.074999999999999,0,3,17,RANDOM
